"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","surplus_hillary","surplus_hillary2"
"1637","Lincoln","Montana",2041,6729,3018,5699,2544,6045,668,847,0,5,4,4,3,1,2,3,5,6,19125,19687,18.4,24.8,49.5,95.7,0.4,0.4,2.8,2.3,86.8,18.3,2506,18.2,78.4,21719,33333,17.9,3612.92,5.4,5.293502209,18,4,2,0,0,0,2,2,2,0,19139,1.567480015,0.71154154,0.56,181,1.03801111,0.45,0.1,0.250819,99791,41402
"1638","McCone","Montana",154,862,321,726,221,742,65,58,-1,0.166914904,0.267063847,0.267063847,0.199355982,0.177548911,0.287724183,0.163700778,0.226225093,0.472506601,1694,1734,19.9,22.5,49,97,0.6,0.2,1.4,0.1,94.4,18.6,181,14.2,77.2,27161,46667,7.4,2643.17,0.7,0.640897105,3,0,0,0,0,0,0,0,0,0,1704,1.76056338,0.801452785,0.55,32,3.197413391,NA,NA,0.21758,103771,41588
"1639","Madison","Montana",1180,3297,1596,2803,1285,3115,312,361,0,1,3,0,1,0,2,1,2,2,7820,7691,15.7,26.3,47.5,96.8,0.5,0.4,2.9,2.3,94.8,32.7,798,21.7,76.1,33062,47762,8.7,3587.48,2.1,2.179803093,4,0,3,0,0,0,0,2,2,0,7806,1.409172431,0.799153588,0.39,115,2.228650129,0.79,0.14,0.232838,102362,41532
"1640","Meagher","Montana",193,729,298,624,269,670,56,58,-1,0.178746688,0.285994701,0.285994701,0.213150395,0.189533081,0.308119548,0,0.2414948,1,1853,1891,18.7,26.2,49.1,96.9,0.3,0.5,1.8,1.5,89.8,17.4,220,16.3,71.9,20288,38182,13.6,2391.91,0.8,0.7746947,1,0,0,0,0,0,0,0,0,0,1865,0.536193029,0.6740638,0.45,36,1.697985498,NA,NA,0.209521,103943,41579
"1641","Mineral","Montana",519,1330,844,1051,698,1212,174,216,0,3,2,2,1,1,1,0,1,1,4257,4223,18.3,26.6,47.3,93.7,0.5,0.8,2.8,0.7,89.2,12.1,639,22.9,70.9,19859,33033,18.4,1219.44,3.5,3.490946664,1,0,0,0,0,0,0,0,1,0,4244,0.471253534,0.668762409,0.49,50,0.303842598,NA,NA,0.198731,103668,41539
"1642","Missoula","Montana",31543,22250,35701,20266,34380,23285,8229,13916,0,10,9,13,23,20,12,29,24,33,112684,109299,19.4,13.6,49.7,92.1,0.6,1.5,3.1,2.8,94.5,39.1,8903,16.7,58.8,25764,46117,16.5,2593.42,42.1,43.44996183,62,16,12,5,6,9,2,21,6,2,112681,1.251320098,0.685980031,0.75,1570,1.355279311,0.05,-0.3,0.195976,113772,35894
"1643","Musselshell","Montana",332,1967,615,1552,482,1792,92,116,0,1,0,2,0.503578528,0.446790521,0.727503737,2,1,2,4589,4538,19.8,21.3,49.8,95.6,0.6,0.3,3.4,1.8,89.3,13.6,661,28.8,78.5,23022,43409,13,1868.16,2.4,2.456427715,4,1,0,0,0,0,0,0,1,0,4604,1.303214596,0.777203746,0.58,67,1.945299241,NA,NA,0.177551,102844,41557
"1644","Park","Montana",3595,4980,4140,4349,3728,4637,916,1521,0,4,1,0,5,5,2,6,4,4,15880,15636,19.1,19.5,49.8,96.1,0.3,0.4,2.8,2.4,93.2,33.6,1386,22.2,75.1,24611,42426,12.3,2803.06,5.6,5.665237276,20,2,3,0,0,0,1,2,2,0,15855,1.892147588,0.741668076,0.61,199,1.970737226,0.53,0.1,0.149708,103094,40976
"1645","Petroleum","Montana",30,278,68,227,49,240,16,16,-1,0.04643348,0.074293568,0.074293568,0.055441533,0.04916974,0.080040996,0.045525707,0.062649941,0.135915134,485,494,21.9,21,45.4,98.4,0,0,1.2,0.4,96,15.4,70,16.8,76,22714,41705,11.1,1654.87,0.3,0.29307438,0,0,0,0,0,0,0,0,0,0,489,0,0.77002584,0.52,2,-1.041544163,NA,NA,0.144568,104231,41581
"1646","Phillips","Montana",318,1723,638,1423,471,1688,81,91,0,1,1,0,0.48123435,0.42864105,0.694820706,1,0,0,4192,4253,22.6,20.5,50.3,87.2,0.1,0.3,2.1,1.2,91.8,15.9,385,15.9,76.4,22890,42632,14,5140.04,0.8,0.815557856,3,1,1,0,0,0,0,0,1,0,4186,1.433349259,0.797994269,0.61,64,2.264687275,0.84,-0.12,0.143934,103074,41571
