county,state,clinton,trump
Murray,GA,"1,800","10,341"
Muscogee,GA,"39,851","26,976"
Newton,GA,"21,943","20,913"
Oconee,GA,"5,581","13,425"
Oglethorpe,GA,"1,831","4,625"
Paulding,GA,"18,025","44,662"
Peach,GA,"5,100","5,413"
Pickens,GA,"1,979","11,651"
Pierce,GA,903,"6,302"
Pike,GA,"1,240","7,278"
Polk,GA,"2,867","11,014"
Pulaski,GA,"1,104","2,437"
Putnam,GA,"2,758","6,544"
Quitman,GA,461,575
Rabun,GA,"1,444","6,287"
Randolph,GA,"1,598","1,271"
Richmond,GA,"48,814","24,461"
Rockdale,GA,"23,255","13,478"
Schley,GA,401,"1,472"
Screven,GA,"2,300","3,305"
Seminole,GA,"1,189","2,345"
Spalding,GA,"9,357","15,646"
Stephens,GA,"1,837","7,686"
Stewart,GA,"1,222",805
Sumter,GA,"5,520","5,276"
Talbot,GA,"2,002","1,196"
Taliaferro,GA,545,349
Tattnall,GA,"1,681","5,096"
Taylor,GA,"1,296","2,064"
Telfair,GA,"1,313","2,450"
Terrell,GA,"2,267","1,874"
Thomas,GA,"7,142","11,228"
Tift,GA,"4,347","9,584"
Toombs,GA,"2,338","6,615"
Towns,GA,"1,210","5,383"
Treutlen,GA,862,"1,809"
Troup,GA,"9,713","15,750"
Turner,GA,"1,246","2,095"
Twiggs,GA,"1,971","2,035"
Union,GA,"1,963","9,852"
Upson,GA,"3,475","7,292"
Walker,GA,"4,215","18,950"
Walton,GA,"8,292","31,125"
Ware,GA,"3,440","8,513"
Warren,GA,"1,314",991
Washington,GA,"4,200","4,149"
Wayne,GA,"2,041","8,153"
Webster,GA,473,630
Wheeler,GA,646,"1,421"
White,GA,"1,674","9,761"
Whitfield,GA,"7,937","21,537"
Wilcox,GA,852,"2,096"
Wilkes,GA,"1,848","2,572"
Wilkinson,GA,"1,894","2,333"
Worth,GA,"2,020","6,152"
Georgia,T,"1,877,963","2,089,104"
,,,
Hawaii,HI,"41,259","17,501"
Honolulu,HI,"175,696","90,326"
Kauai,HI,"16,456","7,574"
Maui,HI,"33,480","13,446"
Hawaii,T,"266,891","128,847"
,,,
Ada,ID,"75,677","93,752"
Adams,ID,415,"1,556"
Bannock,ID,"10,342","17,180"
Bear Lake,ID,255,"2,203"
Benewah,ID,770,"3,103"
Bingham,ID,"2,924","10,907"
Blaine,ID,"6,416","3,340"
Boise,ID,777,"2,673"
Bonner,ID,"5,819","13,343"
Bonneville,ID,"8,930","26,699"
Boundary,ID,933,"3,789"
Butte,ID,160,914
Camas,ID,110,410
Canyon,ID,"16,883","47,222"
Caribou,ID,271,"2,275"
Cassia,ID,"1,036","5,949"
Clark,ID,44,203
Clearwater,ID,704,"2,852"
Custer,ID,427,"1,777"
Elmore,ID,"1,814","5,816"
Franklin,ID,385,"3,901"
Fremont,ID,651,"4,090"
Gem,ID,"1,229","5,980"
Gooding,ID,930,"3,743"
Idaho,ID,"1,196","6,441"
Jefferson,ID,976,"8,436"
Jerome,ID,"1,329","4,644"
Kootenai,ID,"16,264","44,449"
Latah,ID,"8,093","7,265"
Lemhi,ID,733,"3,011"
Lewis,ID,270,"1,202"
Lincoln,ID,360,"1,184"
Madison,ID,"1,201","8,941"
Minidoka,ID,"1,167","4,887"
Nez Perce,ID,"4,828","10,699"
Oneida,ID,184,"1,531"
Owyhee,ID,591,"3,052"
Payette,ID,"1,507","6,489"
Power,ID,699,"1,666"
Shoshone,ID,"1,384","3,297"
Teton,ID,"2,159","2,167"
Twin Falls,ID,"6,233","19,828"
Valley,ID,"1,913","2,906"
