county,state,Clinton,Sanders
Jessamine,KY,"1,875","2,113"
Johnson,KY,444,749
Kenton,KY,"5,146","4,880"
Knott,KY,583,"1,114"
Knox,KY,520,504
Larue,KY,612,910
Laurel,KY,845,791
Lawrence,KY,444,659
Lee,KY,199,224
Leslie,KY,64,77
Letcher,KY,838,"1,788"
Lewis,KY,211,151
Lincoln,KY,779,742
Livingston,KY,400,610
Logan,KY,"1,077","1,131"
Lyon,KY,497,561
McCracken,KY,"3,334","3,541"
McCreary,KY,169,203
McLean,KY,477,628
Madison,KY,"3,441","4,385"
Magoffin,KY,511,626
Marion,KY,"1,162",983
Marshall,KY,"1,577","2,308"
Martin,KY,104,191
Mason,KY,727,775
Meade,KY,"1,312","1,541"
Menifee,KY,311,323
Mercer,KY,988,"1,331"
Metcalfe,KY,506,582
Monroe,KY,126,109
Montgomery,KY,"1,289","1,322"
Morgan,KY,544,988
Muhlenberg,KY,"1,544","1,632"
Nelson,KY,"2,395","2,345"
Nicholas,KY,353,420
Ohio,KY,778,943
Oldham,KY,"2,730","2,315"
Owen,KY,453,720
Owsley,KY,77,91
Pendleton,KY,388,546
Perry,KY,839,"1,666"
Pike,KY,"2,335","4,848"
Powell,KY,623,744
Pulaski,KY,"1,169","1,148"
Robertson,KY,95,177
Rockcastle,KY,238,254
Rowan,KY,"1,170","1,364"
Russell,KY,343,332
Scott,KY,"2,505","2,394"
Shelby,KY,"2,195","2,044"
Simpson,KY,708,695
Spencer,KY,673,806
Taylor,KY,949,844
Todd,KY,333,507
Trigg,KY,604,715
Trimble,KY,415,542
Union,KY,672,"1,106"
Warren,KY,"4,829","5,365"
Washington,KY,601,582
Wayne,KY,502,356
Webster,KY,693,"1,169"
Whitley,KY,522,409
Wolfe,KY,414,499
Woodford,KY,"1,862","1,918"
Kentucky,T,"212,534","210,623"
,,,
Acadia,LA,"1,863","1,087"
Allen,LA,536,297
Ascension,LA,"4,222","1,384"
Assumption,LA,"1,139",312
Avoyelles,LA,"1,181",455
Beauregard,LA,679,391
Bienville,LA,"1,056",222
Bossier,LA,"2,919","1,187"
Caddo,LA,"16,670","3,513"
Calcasieu,LA,"6,594","2,625"
Caldwell,LA,283,127
Cameron,LA,123,132
Catahoula,LA,431,194
Claiborne,LA,768,158
Concordia,LA,"1,830",329
De Soto,LA,"1,508",318
East Baton Rouge,LA,"32,977","7,976"
East Carroll,LA,508,47
East Feliciana,LA,"1,847",347
Evangeline,LA,"1,319",498
Franklin,LA,650,218
Grant,LA,367,247
Iberia,LA,"2,171",806
Iberville,LA,"3,700","1,042"
Jackson,LA,827,267
Jefferson,LA,"17,586","7,030"
Jefferson Davis,LA,738,418
Lafayette,LA,"5,920","3,523"
