county,state,Religious2014,Civic2014,Business2014,Political2014,Professional2014,Labor2014,Bowling2014,Recreational2014,Golf2014,Sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014
Dubuque , IA,51,15,4,1,2,11,7,15,6,1,96587,1.169929701,0.752168837,0.85,594,0.174532841
Miami , OH,88,18,8,0,1,3,1,15,6,0,103970,1.346542272,0.734856739,0.8,576,0.174532841
Ochiltree , TX,17,2,2,0,0,0,0,1,0,0,10720,2.052238806,0.583772186,0.72,57,0.174532841
Frederick , MD,159,31,13,4,4,2,1,33,13,2,243475,1.07608584,0.797030238,0.78,1319,0.173826231
Cross , AR,29,1,1,0,0,0,0,1,1,0,17187,1.920055856,0.661616162,0.69,70,0.172413009
Conway , AR,29,1,2,0,0,0,0,1,1,0,21030,1.616737993,0.695832208,0.7,102,0.171706399
Jefferson , OR,15,1,0,0,0,0,1,4,0,0,22283,0.942422475,0.81408086,0.63,120,0.170999788
Cape May , NJ,66,7,11,0,4,9,2,19,9,1,95359,1.342295955,0.694279879,0.62,582,0.163933681
Beaufort , NC,47,6,3,0,0,0,0,7,3,0,47513,1.389093511,0.713724542,0.78,272,0.163933681
Rutland , VT,46,12,3,0,1,3,1,6,6,0,60150,1.296758105,0.646969697,0.7,459,0.163933681
Mason , KY,20,4,1,0,1,1,0,1,4,0,17120,1.869158879,0.562402942,0.81,118,0.16252046
Pike , IL,17,1,2,0,0,0,0,1,2,0,15989,1.438488961,0.614800439,0.69,122,0.161813849
Jefferson , GA,18,0,2,0,0,0,0,0,2,0,16237,1.354930098,0.744238221,0.76,83,0.160400628
Franklin , FL,8,1,3,0,0,0,0,1,0,0,11699,1.111206086,0.763033175,0.67,67,0.156867574
Caldwell Parish, LA,14,0,1,0,0,0,0,1,1,0,9922,1.713364241,0.699807093,0.49,37,0.155454353
Pend Oreille , WA,7,2,1,0,0,0,0,1,0,0,12941,0.850011591,0.806873185,0.52,74,0.154747742
Cascade , MT,56,23,7,1,2,11,1,10,3,2,82268,1.410025769,0.647514888,0.75,582,0.154041131
Roberts , SD,10,2,1,0,0,0,0,0,1,0,10344,1.353441609,0.589065744,0.53,86,0.154041131
Ouachita , AR,39,0,2,0,0,1,0,3,1,0,24789,1.855661785,0.640484322,0.59,114,0.153334521
Hopkins , KY,74,5,2,1,1,5,1,1,2,0,46304,1.986869385,0.611697354,0.79,232,0.153334521
Racine , WI,124,16,9,0,2,15,6,17,7,2,194986,1.01545752,0.857593256,0.8,821,0.153334521
Franklin , GA,30,3,1,0,0,0,0,1,0,1,22250,1.617977528,0.692108783,0.76,110,0.15262791
Madison , MO,18,3,0,0,0,1,0,1,1,0,12385,1.937828018,0.647321429,0.81,55,0.150508078
Jackson Parish, LA,19,1,2,0,0,2,0,2,0,0,15980,1.627033792,0.730970874,0.58,57,0.146268414
Woodbury , IA,89,14,5,0,2,12,2,9,8,3,102486,1.405069961,0.690422514,0.76,619,0.144148582
Goliad , TX,9,1,1,0,0,0,0,0,1,0,7507,1.598508059,0.627130939,0.62,47,0.144148582
Dawson , GA,23,1,4,0,0,0,0,3,2,0,22896,1.44129979,0.77506242,0.77,88,0.14202875
Crawford , IA,15,0,2,0,0,1,2,2,2,0,17205,1.39494333,0.666074776,0.77,115,0.14202875
Golden Valley , MT,0,0,0,0,0,0,0,0,0,0,852,0,0.789126853,0.56,9,0.14202875
Stark , IL,8,0,1,0,0,0,1,0,0,0,5835,1.713796058,0.6440842,0.74,32,0.141322139
Williamson , TN,173,12,7,3,15,0,1,38,6,0,205334,1.241879085,0.714842879,0.82,1316,0.140615528
King , WA,944,158,147,65,60,142,11,349,39,9,2082288,0.923983618,0.826176837,0.77,11026,0.139908917
Rock , WI,99,13,10,2,2,16,6,15,12,1,161267,1.09135781,0.832774297,0.78,692,0.139908917
Madison , FL,24,0,1,0,0,0,0,1,1,0,18521,1.457804654,0.726189484,0.54,82,0.137789085
Halifax , VA,49,1,2,0,0,0,1,3,2,0,35223,1.646651336,0.694776275,0.81,167,0.137082475
Dolores , CO,1,0,0,0,0,0,0,0,0,0,1975,0.506329114,0.745062837,0.39,17,0.136375864
Warren , IA,37,1,4,1,1,1,0,9,7,0,47979,1.271389566,0.778547539,0.81,225,0.136375864
Jefferson , AL,714,56,30,12,16,49,3,70,20,0,660368,1.468877959,0.698921745,0.74,3576,0.135669253
Monroe , IL,28,6,2,0,0,1,1,4,6,0,33695,1.424543701,0.731607,0.86,172,0.134256032
Franklin , PA,166,30,8,1,2,5,3,16,9,0,152951,1.569129983,0.721666705,0.8,683,0.133549421
Seminole , GA,12,0,1,0,0,0,0,0,1,0,8651,1.618310022,0.750049751,0.49,25,0.1321362
Grant , KS,12,0,3,0,0,0,0,0,0,0,7792,1.925051335,0.560797665,0.66,48,0.1321362
Benewah , ID,5,2,1,0,0,0,0,0,0,0,9080,0.881057269,0.722118959,0.65,70,0.131429589
Benton , MN,34,13,1,0,0,1,0,4,4,0,39439,1.44526991,0.78341253,0.84,146,0.131429589
Moody , SD,9,0,1,0,0,0,0,0,1,0,6399,1.719018597,0.624202511,0.78,38,0.128603146
Clearfield , PA,98,31,2,2,1,2,2,6,5,0,81126,1.836649163,0.624672685,0.83,439,0.127189925
Randolph , GA,7,0,2,0,0,0,0,0,1,0,7300,1.369863014,0.755808206,0.41,28,0.124363482
Pike , MS,59,1,3,0,0,1,1,4,1,0,39961,1.751707915,0.692026335,0.66,155,0.123656871
Steuben , IN,34,7,3,0,0,3,1,2,4,0,34406,1.569493693,0.652609006,0.8,208,0.12224365
Wapello , IA,32,5,0,0,0,4,2,3,2,0,35240,1.362088536,0.657549097,0.78,245,0.120830429
Amador , CA,21,2,3,0,0,0,1,4,2,0,36744,0.898105813,0.820769195,0.71,195,0.117297375
Ingham , MI,177,34,72,5,43,50,3,23,11,2,284263,1.477504987,0.640931207,0.81,1931,0.117297375
Henrico , VA,210,25,26,5,21,18,4,51,7,1,322818,1.139961217,0.765959757,0.79,1783,0.117297375
Marion , OR,191,19,35,14,12,21,6,37,12,1,325838,1.068015394,0.795043855,0.77,1679,0.115884154
McCormick , SC,7,0,3,0,0,0,0,0,0,0,9861,1.014095933,0.772223885,0.73,58,0.113764322
