county,state,Obama_08,McCain_08
Livingston,Illinois,"6,184","9,180"
Logan,Illinois,"5,245","7,424"
Macon,Illinois,"25,419","24,901"
Macoupin,Illinois,"12,071","9,879"
Madison,Illinois,"68,836","57,059"
Marion,Illinois,"8,334","8,687"
Marshall,Illinois,"3,078","3,142"
Mason,Illinois,"3,540","3,139"
Massac,Illinois,"2,693","4,371"
McDonough,Illinois,"6,780","6,047"
McHenry,Illinois,"71,976","64,595"
McLean,Illinois,"37,551","36,657"
Menard,Illinois,"2,704","3,672"
Mercer,Illinois,"4,885","3,830"
Monroe,Illinois,"7,943","9,870"
Montgomery,Illinois,"6,486","6,141"
Morgan,Illinois,"7,458","7,585"
Moultrie,Illinois,"2,663","3,466"
Ogle,Illinois,"11,247","13,131"
Peoria,Illinois,"44,396","33,018"
Perry,Illinois,"4,697","5,077"
Piatt,Illinois,"3,856","4,988"
Pike,Illinois,"3,021","4,451"
Pope,Illinois,842,"1,339"
Pulaski,Illinois,"1,636","1,592"
Putnam,Illinois,"1,900","1,376"
Randolph,Illinois,"7,387","7,536"
Richland,Illinois,"3,177","4,320"
RockIsland,Illinois,"42,175","25,338"
Saline,Illinois,"5,082","6,096"
Sangamon,Illinois,"51,176","46,857"
Schuyler,Illinois,"1,896","1,830"
Scott,Illinois,"1,090","1,453"
Shelby,Illinois,"4,236","6,390"
St.Clair,Illinois,"77,896","47,005"
Stark,Illinois,"1,357","1,513"
Stephenson,Illinois,"11,010","9,686"
Tazewell,Illinois,"29,335","33,203"
Union,Illinois,"3,916","4,999"
Vermilion,Illinois,"16,228","16,046"
Wabash,Illinois,"2,462","3,252"
Warren,Illinois,"4,286","3,637"
Washington,Illinois,"3,338","4,468"
Wayne,Illinois,"2,545","5,381"
White,Illinois,"3,315","3,985"
Whiteside,Illinois,"15,587","10,867"
Will,Illinois,"154,691","119,049"
Williamson,Illinois,"12,893","17,351"
Winnebago,Illinois,"69,903","53,806"
Woodford,Illinois,"6,969","12,137"
Adams,Indiana,"4,928","8,402"
Allen,Indiana,"70,844","77,102"
Bartholomew,Indiana,"13,555","17,061"
Benton,Indiana,"1,563","2,180"
Blackford,Indiana,"2,677","2,690"
Boone,Indiana,"9,744","16,616"
Brown,Indiana,"3,852","4,060"
Carroll,Indiana,"3,733","4,845"
Cass,Indiana,"6,995","8,339"
Clark,Indiana,"21,918","25,299"
Clay,Indiana,"4,954","6,264"
Clinton,Indiana,"5,306","6,915"
Crawford,Indiana,"2,286","2,393"
Daviess,Indiana,"3,369","7,096"
Dearborn,Indiana,"7,123","14,886"
Decatur,Indiana,"3,890","6,443"
DeKalb,Indiana,"7,169","9,771"
Delaware,Indiana,"28,356","20,904"
Dubois,Indiana,"8,748","9,526"
Elkhart,Indiana,"31,289","39,344"
Fayette,Indiana,"4,387","4,917"
Floyd,Indiana,"16,248","19,944"
